ID,exact_weather_condition_by_accident,exact_accident_location_per_claim ,number_of_findings_with_potential_fraudster ,exact_description_of_accidents_by_photo,contact_with_potential_fraudster_mechanic
KSDE52593633706058,1,0,1,Y,Y
YLVD40904773056861,1,1,1,Y,Y
NZVC32863094192442,1,0,1,Y,Y
CMHC36700643191984,1,1,1,N,N
ONKG86506068899000,1,1,2,N,N
JUGA41369348576950,1,1,1,N,N
CTYI94682766494045,1,1,2,N,N
KKOL78627542399726,1,1,1,N,Y
YUAP23837796261808,1,1,3,N,Y
IQQK26531701505619,1,1,2,N,N
UWCN86166261659625,1,0,2,N,Y
MQMG13507666876275,1,1,3,N,Y
FVSR32162723462202,1,1,2,Y,N
DCJL72817936662989,1,1,4,Y,Y
DFHP66042687218847,1,0,5,N,Y
NTJW24866048098430,1,1,4,Y,Y
YRCS99508923365403,1,1,5,N,N
ZQJC39526514451850,1,1,5,N,Y
RJUO71770026210366,1,1,5,N,N
ALYX98898627093694,1,1,2,Y,N
NXPB77108952557526,1,1,4,Y,Y
EBYN50987872126159,1,1,2,Y,N
ALAD88585086459611,1,0,2,N,N
LTLN16181428626342,0,1,1,Y,N
QWJT80661325123758,1,0,4,Y,Y
JOJO00174946915336,0,0,3,Y,Y
NLTK07725345654478,1,1,4,Y,Y
TWYK61004339822178,1,0,3,Y,Y
NTLL57745060085388,1,1,2,N,Y
NMEM42232936988014,1,1,4,N,Y
NUJH22055441051003,0,1,2,Y,N
HMCI98260832702556,1,1,3,Y,N
VWUZ75580898336226,1,1,1,Y,Y
BYSM47306670636607,1,1,2,Y,Y
EUUC11510182427333,1,1,3,N,Y
TVLW14987111634824,1,1,4,Y,N
NGWP97602589413042,1,1,5,Y,Y
SJFG54017800180329,1,1,1,N,Y
LVFA19518288530047,1,1,4,Y,N
BYBN85621383728117,1,1,2,N,N
ASEG44379542160873,1,1,1,N,Y
BVMC99785975530035,1,0,3,Y,Y
VHRO55229295365655,1,1,3,N,Y
AABM98688233431907,1,1,4,N,Y
ZIMI66651804419697,1,1,3,Y,Y
XRRR48693171472254,1,1,3,Y,Y
TJYT33962310191127,1,1,3,N,Y
WBTE62194499731916,1,1,1,Y,Y
IERG63391793993819,1,1,4,Y,Y
SNCL81602210676859,1,1,2,N,Y
YGCT69795619945021,1,1,1,Y,N
ZISR51983177730834,1,1,3,N,N
ZHKM13288969167020,1,1,2,Y,N
RDVQ79574039654948,1,1,4,N,Y
ZQHN64695313720336,1,1,5,Y,Y
GNCA66729962922110,0,0,5,Y,N
IRGB40940424694043,1,1,4,Y,N
FUOU06871450748902,0,1,1,N,Y
GOZZ32489602470768,1,1,3,Y,Y
ASIH59888286297559,1,1,5,Y,Y
RULX59552991906079,1,1,2,N,Y
WQNM46395709741078,0,0,4,Y,Y
WSKW40618650975188,1,1,1,Y,N
ISCW87088335780004,0,1,4,Y,Y
NMQU34032757365130,1,0,5,N,N
BXOH15227485013767,1,1,5,N,Y
VVOB61791562225631,1,1,4,Y,N
JVNZ30310957935042,1,1,2,Y,Y
VSJV03404941916687,1,0,3,N,N
SXXI19294902868362,1,1,4,Y,Y
ETWD97588942009966,1,1,3,Y,N
XIYU75915633509558,1,1,2,Y,N
THLE86167367694029,1,1,4,Y,N
YDSX69326579027851,1,1,3,Y,Y
YHBT40649581518808,1,1,4,N,N
CMWX78350868788996,1,0,2,N,N
BWHB44867566167473,1,1,1,Y,Y
SZZI68361567806730,0,1,2,Y,N
RQTY89383748731388,1,1,2,N,Y
XLGQ78542148446177,1,1,5,N,N
WNLS98169414048113,0,1,4,N,Y
EYMG57452724209468,1,1,2,Y,Y
BQMM80355665437549,1,1,3,Y,Y
FZTA04201692297143,1,1,3,Y,N
EXLG82390360497755,0,0,4,N,Y
PRDJ91401800917578,1,1,3,Y,Y
PJOS50660279934894,1,1,2,Y,N
PLLW97628818671934,1,1,5,N,N
NGDN93798394046654,1,1,1,N,Y
HIMG15027508810467,1,0,4,Y,Y
ROUE10996538458597,1,0,5,Y,Y
XFBO43537597059754,1,1,5,N,Y
VJOS58811829497411,1,1,2,Y,N
GUKF38463814708522,1,1,5,N,Y
UOUG36022410846000,1,0,2,Y,N
HGBU48760819593293,1,1,1,Y,N
CUOL05262337848707,1,0,5,Y,N
MRJN39491640010120,1,1,3,Y,Y
FBTH82705473856957,1,0,1,Y,N
UHSC70341658649519,1,1,5,Y,N
VQSB13706933450510,1,1,3,Y,Y
VFUQ35403839718748,1,1,3,Y,Y
ISTH07567278135855,1,0,5,Y,N
NZKW88188425372412,1,1,3,N,N
CIZR00710580688407,1,1,2,N,N
VCUR03552826071979,1,1,3,N,Y
BFXJ28339623597025,1,1,4,Y,N
DVDS65789515075482,1,1,3,Y,Y
VDND81921323964407,1,0,1,Y,Y
GOOA12859642980554,0,1,2,Y,N
YJYF85237072460986,0,0,1,Y,Y
FVMC13642472634683,1,0,1,Y,N
COLG66015838357371,1,1,2,Y,N
LULM73828166495788,1,1,2,Y,N
IVLL31592143106859,1,1,4,N,Y
FQFI03870618336732,1,1,3,Y,Y
EEKF68555627627529,1,1,1,Y,Y
YBOI31097733929348,1,0,1,N,Y
MBXR87631595393871,1,1,1,Y,Y
BFRR58767214947282,1,1,5,N,Y
TKVJ86875789727691,1,1,4,N,Y
TETY03323878523966,1,1,3,Y,Y
GQNT13549860307545,1,1,2,N,Y
NINR22690734942316,1,1,2,Y,N
CYNU43489862078961,1,1,4,N,Y
FVRQ26608045551345,1,1,3,Y,N
FFUS32476720505139,0,1,1,N,N
EJYW03890102079224,1,0,3,N,Y
GLQD95059105447228,1,1,3,Y,Y
OXDC75424514556022,1,0,5,Y,N
MBJB65364327356003,1,1,4,Y,N
PYHK35494642186064,0,1,5,Y,N
DVCR93259599906712,1,0,4,Y,Y
BHUR38275149271991,1,1,5,N,Y
RROX28588598612573,0,0,4,Y,Y
OVQB90262896261432,1,1,2,Y,Y
WOFP30304080583783,1,1,1,Y,Y
LJGH21659744209089,1,0,1,Y,N
NLOV06462370128479,1,0,3,N,Y
OJCV39986654626764,1,0,2,Y,Y
VJXZ30205682386301,1,0,1,Y,N
WWGD06499222935798,1,1,4,Y,Y
LOLE43580732961809,1,1,1,Y,Y
DJKR58161928743591,1,1,5,Y,N
NBZD79726149402585,1,1,3,Y,Y
SPGT79371143753195,1,1,4,N,N
ZEKR93725313672740,1,1,1,N,Y
GEHY95337478634361,1,1,2,Y,Y
YCMK10026463871182,1,1,1,Y,Y
LHSU45306247264199,1,1,3,Y,N
EEFZ60649165880420,1,1,5,Y,Y
ARYL49770184899047,1,1,4,Y,Y
FWHA70572112620663,1,0,2,N,N
LFCU02929438243006,0,1,1,Y,N
SRKG30804159513598,1,1,2,N,N
IIKW70984558306902,1,1,3,Y,N
YTPX04811370096356,1,1,4,Y,N
MUDO28881084071512,1,1,1,Y,Y
GBFC87967258939937,1,1,4,N,Y
YQGA08036020245307,1,1,3,N,Y
YOST38554529107051,1,0,2,Y,Y
EFTS18154294405675,1,1,2,Y,Y
FXQQ26331899278412,1,0,5,Y,Y
AEJP32995803868709,0,1,1,Y,N
VWUU13005307083425,1,1,3,N,N
HOAA99475665401057,1,1,4,Y,N
FUHD12460187489943,0,1,1,N,Y
VYFV29021919848760,0,1,2,N,Y
HSZG76996439806625,1,1,1,N,Y
HCGL62211705171681,1,1,2,N,N
DLRQ46442065159563,1,0,1,Y,Y
FLFR90516880628173,0,0,3,Y,Y
JAXP60069034847413,1,0,4,Y,N
DOXW52741578381431,1,1,4,N,N
ABJZ31647184250107,1,1,2,Y,Y
TKNH03377589253709,1,1,3,N,Y
WZSW90050788688401,1,0,5,Y,Y
CTNA84003050479649,1,0,1,N,Y
YPXI68776688347559,1,0,2,Y,N
VSLH01905258846777,1,1,1,Y,N
UQWD60985456004247,1,1,3,Y,N
GTHS90088858287688,1,1,5,Y,Y
VZGE69603608335718,0,1,5,N,Y
QFRI77546529755172,1,1,2,Y,Y
JTWJ62336529008900,1,1,4,N,N
RNYZ37810627588474,1,0,4,Y,Y
TAXZ15726711310812,1,1,1,N,N
VBHD11213849979299,1,1,3,Y,N
FGAW59375177508313,0,0,4,Y,Y
XYFD78001316025430,0,1,1,Y,Y
KHGI96958331999824,1,0,5,N,Y
TOLL73556902675741,1,1,5,Y,Y
DULX28905652309872,0,1,5,Y,Y
NHQS42098770962861,1,1,1,Y,Y
ACVG29854724553451,1,1,1,Y,N
MQRP79391714793968,1,1,3,N,N
MSVR40152820133888,1,1,4,Y,N
PQDL15371117274172,1,1,5,Y,Y
QIQE93100447378935,1,1,4,N,Y
GNQT21936434224512,1,0,3,N,N
VZWR61356226492050,1,1,3,Y,Y
PKTY29310307956711,1,1,1,N,Y
WZXH13633730320620,1,1,5,Y,N
LNCL60665556556518,1,1,5,N,N
RDTX86131414437924,1,0,1,Y,Y
SZPZ48114134359439,1,1,1,Y,Y
QURO75261661037584,1,1,4,N,N
XWPA09035532770840,1,1,1,Y,Y
JREC68656334146222,1,0,5,Y,Y
YFIV45642157327783,1,0,3,N,N
CVBK59302758735141,1,1,5,Y,N
JDEQ99072773293926,0,1,1,Y,Y
SYUE37659718985137,1,1,1,N,Y
AXOA27312699802655,1,1,5,Y,N
VTKX03424244780056,1,1,5,Y,Y
BTGK35884191258259,1,0,2,Y,Y
AITK52151401870599,1,1,1,N,Y
YIML99212440557858,1,1,2,N,Y
HZOG59011168371673,1,1,1,N,Y
XTMF89553409157024,1,1,1,Y,N
ZMYP29462802426037,1,0,5,Y,N
CBSG92988523078978,1,1,3,Y,Y
SLZZ71677976926606,0,1,3,Y,Y
BYZJ30944595332499,1,0,4,Y,Y
CCMF74085070055042,0,1,3,N,N
YDII56725329840346,0,0,3,Y,Y
XBKH71718593215049,1,1,1,N,N
WCAU33121909970816,1,1,4,Y,Y
ZOCM37087547809597,1,1,4,Y,Y
HTUG14405157822380,1,1,4,N,Y
VFIL83388139392222,1,0,5,Y,Y
ZGMQ68430725161891,1,1,5,N,Y
UTKW38310046510010,0,1,3,Y,N
LQTV54113449806821,1,0,3,Y,N
WBVD39207151550614,1,1,5,N,N
MIND88555568326777,1,1,4,Y,Y
QZUY59022280875963,1,1,2,Y,Y
YJKJ27845214102498,1,0,2,Y,Y
VBAY20107500446029,1,1,4,Y,N
ZICS41723747716259,1,1,4,Y,N
GZLU50738401041486,1,1,4,N,Y
YDRQ00970682930197,1,1,2,Y,Y
MLIJ80725139825177,1,1,1,Y,N
QUCV54122438906815,0,1,2,Y,Y
FLSQ56502730422203,1,1,2,N,N
RCCW77819196692239,1,1,4,Y,N
RZGA99776596138051,1,0,1,N,Y
KULI21509963625489,1,1,5,Y,N
TSFQ23033837256609,1,1,1,Y,Y
ZRCQ44027470121931,1,1,1,Y,Y
BDBH07174142256005,1,0,2,Y,Y
RPYQ74312144867973,1,1,3,Y,Y
MQTL88137668944843,1,1,1,Y,Y
JGWK57439326840180,1,0,2,N,Y
LNGC62928348676310,1,0,5,N,N
KSKA76949379923995,1,1,5,N,Y
FCXK88566975011743,1,1,5,N,Y
PTRP84836199370315,1,1,3,Y,Y
ISUM53721383733286,1,1,1,N,Y
HFOC35480202190357,1,1,4,Y,Y
VPIF47779348898293,1,1,2,Y,Y
IDNL97699816492600,1,1,3,Y,Y
QKFV49795588696122,1,1,2,Y,Y
DXRQ43177042078126,1,0,3,Y,N
THWP59648000512404,1,1,1,Y,N
NNAC68433411568053,0,0,3,Y,Y
VMAO95210682405499,1,1,4,N,N
FDIT82874018369690,1,1,4,Y,N
ULCL83885267307473,1,1,3,Y,Y
YJFB22925934079259,1,0,1,Y,Y
XRQX26837963559496,1,1,5,Y,Y
THYN50221673096197,1,0,3,N,N
FWUC75655108887701,1,1,1,Y,N
EZVS16442477765955,1,0,5,Y,N
FMCV87571131542936,1,1,1,Y,Y
UTMR03520168051992,1,1,1,Y,N
JTRO08912034152530,0,0,5,Y,Y
XMVX61169881089871,0,0,3,Y,Y
HNXT48900269372954,1,1,3,Y,N
WBAC39816051545708,1,1,3,Y,N
XSKQ55192245265176,1,1,2,Y,N
YQLQ37632598794123,1,1,3,Y,N
HAHQ19810579092271,1,1,5,Y,Y
KRCI38002137221289,1,1,1,Y,Y
AYSJ94393912519161,1,1,2,Y,Y
YYWF89813224859930,1,1,3,N,Y
WNIJ77761128130891,1,1,1,Y,Y
NLDL79673806734787,1,1,3,Y,N
BMHA48296654144365,1,0,3,Y,N
YOPH72641752814294,1,1,2,Y,N
KHOO41450090750600,1,1,1,Y,Y
CCXJ50580536258880,0,1,3,N,Y
WVCL78197353664159,1,0,4,Y,N
LUOR93906475643704,1,1,3,N,N
HFUK26531776704883,1,0,1,Y,N
BJFJ28287853980270,1,0,5,Y,Y
AHZW09681561522906,1,1,5,Y,N
NUQU30287340955489,1,1,5,Y,Y
HKPF18048937788208,1,1,3,Y,Y
FZDN76114213942094,1,1,2,Y,Y
OGWH91680508453746,1,1,4,N,Y
UOCV09409739735473,1,1,5,N,N
CBBK30367010422591,1,0,1,Y,N
KUXS51183362040716,1,0,5,Y,Y
QANU23505181357502,1,0,2,Y,Y
JRRL84150784141570,1,1,1,Y,Y
NXFA57784299025153,1,0,5,Y,Y
JFUV15292799247497,1,1,4,Y,Y
WFNY96311892064357,1,1,2,Y,Y
AKKG08688009833086,1,1,4,Y,N
XJBD79021887406556,1,1,3,Y,Y
MOHP39486621100839,1,0,5,Y,Y
JDSH92614311680274,1,1,5,Y,Y
KKMT95298520597412,1,1,4,N,Y
HKWQ20285048669847,1,1,2,N,N
XOKP33921805348924,1,1,1,Y,Y
MFEV65716324967987,1,0,2,Y,Y
KYMO50988758541129,1,1,3,Y,Y
DUWI52620743693828,1,0,3,Y,N
UFOH15383760013027,1,1,5,Y,Y
QQMA12324521921034,1,1,2,N,Y
IVNV24444309871095,1,1,5,Y,N
DOBT89534272033362,1,1,3,N,N
RYAD39905864096711,1,1,5,Y,Y
DASB73473121676719,1,1,4,N,N
JIBG34999574716414,1,1,1,Y,Y
QHLT06735440150760,1,1,1,Y,Y
WDKV80065430750590,1,1,1,Y,Y
NDUQ29927738179546,1,1,5,N,Y
SVPK87578058571829,1,1,4,Y,Y
QDHQ68497951371843,1,1,3,Y,Y
FDSB05189315639600,1,1,1,Y,N
LAMR06230311055941,1,1,4,Y,Y
FAUW36554393619998,1,1,3,Y,Y
PCPK39530310259828,1,1,2,Y,Y
YPFL83529159952843,1,0,3,Y,Y
MGCN50296203037209,1,1,5,Y,Y
LLBR92840753508705,1,1,3,N,Y
GFAT24422697169257,1,1,5,Y,Y
YHKM83064571848478,0,0,3,Y,Y
RVJZ45350775832587,1,0,5,Y,Y
SXPK30037661125412,1,1,1,Y,N
SAMN83105801031919,1,1,4,N,Y
NGGO85082400079578,1,1,3,Y,Y
BXSY94753770182011,0,1,5,Y,N
SQGU82509131562856,1,0,4,Y,Y
JLAA00183122287662,1,0,2,Y,N
JZCY18121868450887,1,1,2,Y,N
RQUZ87523090672753,1,1,5,Y,Y
VFCU17556335609609,1,1,1,Y,Y
SFNN27329126941177,1,1,5,Y,Y
DAWN22367932996452,1,1,4,Y,Y
THQY28318206743246,1,1,1,Y,Y
RUIM71101958506983,1,0,5,N,Y
GAAW93069693302153,1,1,4,Y,Y
JQWC00106888094949,1,1,2,Y,Y
EQKG02335449918601,1,0,3,Y,Y
XSGM92344244359849,0,0,1,Y,N
OAHW72258720679948,1,0,2,N,Y
XIFK85713494378005,1,0,3,Y,N
MMXG10921817871142,1,1,3,N,Y
RDBI12373295057373,1,1,5,Y,Y
PFQG00083037473935,1,1,3,Y,N
MXOA08360999280242,1,1,5,Y,Y
CNSU86862173209571,1,1,4,Y,Y
BMBO81600416669601,1,0,2,Y,N
NCWC97069590643234,1,1,5,N,Y
BSAA05006676695424,1,1,3,Y,N
QGJR37411330150644,1,1,4,N,N
JHAS32809627856608,1,1,1,Y,Y
INAG20549843326450,1,1,5,Y,N
QEAS72226869962256,1,0,1,N,Y
GWFD02668567731057,1,1,2,Y,Y
MMGO56939806696581,1,1,4,Y,Y
QAAM21160838235776,1,1,4,Y,Y
KITX50312667201248,1,1,3,Y,N
AWWY23404554217913,1,1,2,N,Y
IDPL68904211547646,1,1,2,Y,Y
MTGY03115933835241,1,1,5,Y,Y
GBNY60062163567489,1,1,5,N,Y
PYUG64304030805001,1,1,5,Y,N
ZOEI23688144949309,1,1,5,N,Y
ZUQC66872900062697,1,0,3,Y,N
QAZM20827484517877,1,1,3,Y,Y
ILIB55748437214891,1,1,2,Y,Y
PBGN44956115774748,0,1,2,N,N
YQQF35030180747796,1,1,2,Y,Y
HYHJ41724461267172,1,0,5,Y,N
PCSB95578588482587,1,0,2,N,Y
WSQU42347778158303,1,0,5,Y,N
DYAR49871909279265,1,1,5,Y,N
DKYU45047646914950,1,1,3,Y,N
CGRA33354606058692,1,1,5,Y,N
BVEK50188181321932,1,1,5,Y,N
MUNH29544978115522,1,1,4,Y,Y
YFXG57195564246018,1,1,1,N,Y
QPDO09795124628461,1,0,2,Y,Y
YFUY52577481121106,1,1,1,Y,N
ZDDQ43955553344985,0,1,5,Y,N
UXVU08782558456105,1,1,5,N,Y
XRFM71144894885033,1,1,2,Y,Y
HBKY14758325229331,1,1,2,N,N
ENWE07839286238783,1,1,5,N,Y
OXKV32283145754101,1,1,2,Y,Y
CCIT97553165293730,1,1,2,Y,N
RGSA93842428738935,1,0,1,N,Y
LQYU84263541149919,1,1,3,N,N
VVAA70704842530661,1,1,2,Y,N
IRJH19828273906100,1,1,2,Y,Y
LFKQ93632347907039,1,0,4,Y,N
NCCR40062089757527,1,1,4,Y,N
ACEV85293715076977,1,1,2,N,Y
UMSV32051240120739,1,1,5,Y,Y
ZJMZ74836150678088,0,1,3,Y,N
DFHP59996102286389,0,1,2,Y,Y
WZRV71774307412221,1,1,4,N,N
OJYJ09963018263391,1,1,1,Y,Y
YCKD78642176480033,1,1,5,N,Y
KBKP31237341110283,1,1,4,Y,N
GSWD11846213585686,1,0,1,Y,N
CFMB27715215344131,0,0,3,Y,N
TQWA75390263952579,1,1,4,Y,Y
BZHL12160535307847,1,1,5,Y,N
JKBU90834455913053,1,1,5,Y,Y
BLAN57312184283621,1,1,4,Y,Y
IPEN60170328773689,1,1,2,Y,Y
QMHJ85206234814981,1,1,3,Y,Y
APOX49966203963400,1,1,3,Y,Y
LETI23447566428509,1,0,1,N,Y
DLWY37871199351824,1,1,1,Y,N
OLAV03728317721379,0,1,3,Y,Y
SKWX99719613119805,1,1,4,Y,N
SZFB70795651644795,1,0,5,N,Y
YYPQ53654153278819,1,1,3,Y,Y
GSCK07433885473716,1,1,5,Y,Y
KWZX42824421841695,1,1,2,N,Y
CHBC90575391560727,0,1,5,Y,Y
YONY56225603030223,1,1,1,Y,Y
TWGR73399131217015,1,0,2,Y,N
YIIT68161515576424,1,0,5,Y,N
BOQB31179577682376,1,0,5,N,N
JXWV95226302943662,1,1,1,Y,Y
KFYN83554241092912,1,0,3,Y,N
KLCO02997583627656,1,0,3,Y,Y
WFQD45313130084861,1,1,4,Y,Y
YVCD60577214367810,1,0,5,Y,N
NTOJ83949162401718,1,1,3,Y,Y
IXAJ82452002530659,1,1,3,Y,N
NIXX00427499254709,1,1,1,N,N
JDYU45301756894272,1,1,5,Y,Y
DFQF89053465882324,1,1,5,Y,Y
XSHD35781324954692,1,1,3,N,N
KLVC86019678006984,1,1,2,Y,Y
GMHX08528539039018,1,1,1,Y,N
NUUC71579697597692,1,1,5,Y,N
VGQH21918807806478,1,1,2,Y,Y
QJZP32655086347264,1,1,2,N,Y
HSJQ37701012750935,1,1,1,Y,Y
BOGB21291214951249,1,1,2,Y,Y
IUZI94302412885495,1,1,4,N,Y
VOGR10392999538125,1,1,2,Y,N
OTSU77375118162711,1,0,2,Y,N
OUMV39603225219515,1,0,2,Y,Y
KSJQ37460705782666,1,1,1,Y,N
DKCJ06189806822364,1,1,5,Y,Y
JNIN72858545886533,1,1,1,Y,N
CMBW98477712495332,1,1,5,N,Y
MBJD67617404916845,1,1,1,Y,N
WVAP35785276188259,1,1,2,N,Y
KXNB36026338075963,1,1,4,Y,Y
APJV79253270892969,1,1,3,N,N
SFYX14497832941795,1,1,2,Y,Y
WZLD69880156245291,1,0,3,Y,N
NQNE40408693284950,1,1,1,N,N
KNTZ00397288025837,1,1,2,Y,Y
ECVW50817449694432,1,1,3,Y,N
IPZY73773364345147,1,0,5,Y,N
FCXO27370269285588,1,1,2,N,N
SRNH93480900165514,1,1,1,Y,Y
ESUT54216344708672,1,0,2,Y,N
LDZV20034151525130,1,1,4,Y,Y
VRCE13123525834832,1,1,1,N,N
XTHC89484291666590,1,1,5,Y,Y
TEKT58448943822366,1,0,1,Y,Y
WRFC57051469614039,1,0,4,N,Y
SWOS31827383287708,1,1,1,Y,N
NAAB05649935894634,1,1,1,Y,Y
HFFI73392194012792,1,1,2,Y,Y
VXYM03819562568004,1,1,1,Y,N
TAAF94097804800162,1,1,2,N,Y
QKHC98439118646550,1,1,4,Y,Y
CJNZ24604872552242,0,1,3,Y,Y
BPVC66178820806826,1,1,3,Y,N
PCWX07139430722525,1,1,2,Y,N
YEYJ31830581588480,1,1,5,Y,Y
NSID77755261492719,1,1,4,N,Y
LAAJ19117454354115,1,0,3,Y,Y
NBVU44624688505964,1,1,3,Y,N
AHZL51673064898539,1,1,2,N,Y
SRQC91119426803278,1,1,4,Y,N
WUZS03282089550219,1,1,3,Y,N
FFVC19570894986285,1,1,3,Y,Y
MXRQ67971947606278,0,1,2,Y,N
ARUV91180305136787,1,1,2,N,Y
GVAC21931661961487,1,1,2,Y,Y
MPVY48390868897364,1,1,5,N,N
WYFJ91959760719734,1,1,5,Y,N
VJTU58495326755836,1,1,3,N,Y
ZPIF47291157405736,1,1,5,N,N
ZJNC37603944948821,1,1,3,Y,Y
BCLZ23148826685748,1,0,3,N,Y
UHPI60587471417031,1,1,2,N,N
SFBS84902917359662,1,1,4,Y,Y
THCQ67635426365468,1,0,4,Y,Y
XSSO09338352387994,1,0,1,Y,Y
RWTA37203675701202,1,1,1,Y,Y
EVIM15163250034956,0,0,5,Y,Y
DXJJ02943018552285,1,1,4,Y,N
YNJF59298389834821,1,1,2,Y,Y
MJLR96109076942455,1,1,4,N,N
ZVGA44289278536563,0,1,3,Y,Y
HTHX46621665519494,1,1,2,N,Y
WAYF85521997274694,1,0,4,Y,Y
GLAZ31429668207331,1,1,4,Y,Y
THOJ49388259703846,1,1,4,N,Y
MZIM78797675667314,1,1,5,Y,N
LGHO18993152639248,1,1,3,Y,Y
BJVH83809673590026,1,1,2,N,Y
OXFC99052553405988,1,0,3,Y,Y
VJGX23756744358688,1,1,3,N,Y
RXKF40226765488736,1,1,2,N,Y
FHMD15572559503031,1,1,5,Y,N
MKPX32709119990010,1,1,4,N,N
IQMT15288390892894,1,1,5,Y,Y
NGEJ58344159580346,0,1,4,N,Y
WLRB70136236437554,1,1,3,Y,N
JSFM34326505712292,1,1,2,Y,N
ZLBA20099169541836,1,1,2,N,Y
XRGV43514380313922,1,0,3,N,Y
GDRH65253356340338,1,1,3,Y,Y
LNAE96510007468299,1,1,5,Y,Y
FUTQ79328654878586,1,1,4,N,N
JDBW09505514743553,1,1,1,Y,Y
IERP81174958654465,1,1,1,Y,N
DHGW62090946736046,1,1,5,Y,Y
HNZQ10739931241914,1,1,1,N,Y
NTEN50102893267814,1,1,3,Y,Y
IMIC62081032606382,1,0,5,N,N
OAPQ38471917367199,1,1,3,Y,Y
PMTW44457331917338,1,1,3,Y,Y
DFYS03560400149703,1,0,1,Y,N
FNIY75346137211195,1,0,3,Y,N
LHPC32132477458464,1,1,1,Y,Y
GROG47690776257749,1,1,2,Y,Y
VCEB64936333769940,1,0,1,Y,Y
GGDI92484292955257,0,1,5,Y,Y
ISTL44881590924880,1,0,5,Y,N
YIMA92013413324699,1,1,3,Y,Y
RMFL25924771913622,1,1,1,Y,Y
QHZP99338489258415,1,1,4,Y,N
TAEN75690952467248,1,1,3,Y,N
LOQE54136268533784,1,1,5,Y,Y
FQAZ79452993431351,1,1,5,N,N
JFPM21173128094191,1,1,1,Y,Y
PXFL43224331220484,1,0,2,Y,N
AEVD33854587948810,1,1,2,Y,Y
PLER76422082180354,1,0,5,Y,Y
GFYG73461958652092,1,1,2,N,Y
EQEE85234025570466,0,1,4,Y,Y
QZNX64690396318910,1,1,1,Y,Y
VMVH25434066649667,1,1,4,N,Y
XCQR72937416018777,1,0,3,Y,Y
SEJQ46706788306077,1,1,3,Y,N
SAPH81958831651556,0,0,4,N,N
OZIA18698105954299,1,0,3,Y,Y
DFPJ55392410739475,1,1,5,N,N
DPSF06078410426206,1,1,2,N,Y
JKBQ32820315629740,1,1,3,Y,N
WXYL29536161691822,1,1,2,N,Y
QNFL66537230248235,1,0,3,Y,Y
YRTI42298813313144,1,1,1,Y,Y
PUIR76369911294053,1,0,3,N,N
ELSZ14827961889496,1,0,2,Y,Y
GTRI62208221103337,1,0,3,Y,Y
DXLG27630757066922,1,0,1,Y,N
FOEP68177749417882,1,0,4,Y,Y
RCCJ58550299914282,0,1,4,Y,Y
PIGJ37421097311248,1,1,1,Y,Y
FIEB60006788594458,1,1,2,Y,Y
DTWF75146788585672,1,1,5,N,N
ZCTM25445329297016,1,1,4,Y,Y
UJTT13142727715506,0,1,5,Y,Y
VUFS82923649423308,1,1,4,Y,Y
JYIU53868916430666,1,1,1,N,N
QGOA70901921428418,1,1,5,Y,N
MBSE59662436426309,1,1,3,Y,Y
GYHP72993874993393,1,1,4,Y,Y
ONFJ58871999124614,0,0,4,Y,Y
YTQJ51519852556670,0,1,1,Y,N
HRPD88270071436751,0,1,5,Y,N
GDXQ04750445436887,1,1,4,Y,N
YAJT47582977401662,1,1,3,Y,Y
XNII48000412225558,1,1,5,Y,Y
NKSH99419130426510,1,1,4,Y,N
FUIX02964351830001,1,1,4,Y,Y
OUQP77077693866640,1,0,3,Y,Y
SCKQ04623947696488,1,1,4,N,N
LXRT93510712087442,1,1,2,Y,Y
JBSW95648281218865,1,1,4,Y,N
TEZP30400851318866,1,1,4,Y,Y
KHAZ65237576393379,1,1,1,Y,Y
GDYW83517050236136,1,1,3,Y,N
UTGM49483335761211,1,1,1,Y,Y
QBLC86396129672418,1,1,1,Y,Y
FVUY11007864867401,1,1,4,Y,Y
NAKI27594144570732,1,0,4,Y,Y
WBNJ30357295476547,1,1,5,Y,N
XWVC90069168523221,1,1,3,Y,N
SEHL77326593147521,1,1,3,N,Y
OFSH87861727071221,1,1,5,N,Y
EDYM15881566623572,1,1,2,Y,Y
ZUTP81680356636475,1,1,2,Y,Y
ARXK54454130739001,1,1,4,N,Y
DIKZ55859054322086,1,1,5,N,Y
ZNQT82271210210869,1,0,5,Y,Y
WYMO88092133648326,1,0,4,Y,N
XVTV62535477495375,1,1,5,N,N
WGFK00717361567168,1,1,1,N,Y
NDLO28319825930927,1,0,1,Y,Y
OFWP14122957899796,1,1,4,Y,N
OREH25092652542188,1,1,5,Y,N
KOXP41758888996408,1,0,4,Y,Y
ZTNT73951021376288,1,1,1,N,N
YBSG73098020103525,1,1,4,Y,Y
BIUT42332983075645,1,1,1,Y,N
NVRH27911754687267,1,1,2,N,Y
MOHY41582865348200,1,0,5,Y,Y
KFZE15040658800850,1,0,1,Y,Y
IBDR23736608789136,1,1,3,N,N
KGQU34494878854281,1,0,5,Y,Y
RVSD65469765057459,0,1,4,Y,Y
KOQF51525917434181,1,1,3,Y,Y
YZWM06972046379603,1,1,3,Y,N
BGOB08735494191098,1,1,5,Y,Y
LCRM87904832071369,1,1,3,N,Y
OMSD51538906669825,1,1,5,N,Y
GQMY76732606598235,1,1,1,N,Y
JNCU40936087659083,1,1,5,N,Y
IUFO74349033748370,1,1,4,Y,N
